"","X","Table.1","ANZSOC.Division","month","year","ANZSOC.Group","ANZSOC.Subdivision","Area.Unit","Location.Type","Locn.Type.Division","Occurrence.Day.Of.Week","Occurrence.Hour.Of.Day","Territorial.Authority","Weapon","Number.of.Records","Victimisations"
"2271",2271,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Apr","20","Common Assault","Assault","Paparua.",".","Community Location","Sunday",16,"Christchurch City.","None",1,1
"2272",2272,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Apr","20","Common Assault","Assault","Fairview Downs.",".","Community Location","Sunday",18,"Hamilton City.","None",1,1
"2273",2273,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Apr","20","Serious Assault Not Resulting in Injury","Assault","Royal Heights.",".","Community Location","Sunday",13,"Auckland.","Blunt Instrument N.F.D.",1,1
"2274",2274,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Apr","20","Serious Assault Not Resulting in Injury","Assault","Onehunga North West.",".","Community Location","Sunday",13,"Auckland.","None",1,1
"2275",2275,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Apr","20","Serious Assault Not Resulting in Injury","Assault","Albany.",".","Community Location","Sunday",17,"Auckland.","None",1,1
"2276",2276,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Apr","20","Serious Assault Not Resulting in Injury","Assault","Aorere.",".","Community Location","Sunday",10,"Auckland.","Not Stated",1,1
"2277",2277,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Apr","20","Serious Assault Not Resulting in Injury","Assault","Paparua.",".","Community Location","Sunday",14,"Christchurch City.","Not Stated",1,1
"2278",2278,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Apr","20","Serious Assault Resulting in Injury","Assault","Homai East.",".","Community Location","Sunday",11,"Auckland.","None",1,1
"2279",2279,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Apr","20","Serious Assault Resulting in Injury","Assault","Paparua.",".","Community Location","Sunday",10,"Christchurch City.","Not Stated",1,1
"2280",2280,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Apr","20","Serious Assault Resulting in Injury","Assault","Bridge Pa.",".","Community Location","Sunday",9,"Hastings District.","Sharp N.E.C.",1,1
"2281",2281,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Apr","20","Common Assault","Assault","Otahuhu West.",".","Community Location","Thursday",0,"Auckland.","None",1,1
"2282",2282,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Apr","20","Common Assault","Assault","Adelaide.",".","Community Location","Thursday",11,"Wellington City.","None",1,1
"2283",2283,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Apr","20","Common Assault","Assault","Palmerston North Central.",".","Community Location","Thursday",14,"Palmerston North City.","None",1,1
"2284",2284,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Apr","20","Common Assault","Assault","Mt Eden North.",".","Community Location","Thursday",16,"Auckland.","None",1,1
"2285",2285,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Apr","20","Common Assault","Assault","Flaxmere East.",".","Community Location","Thursday",17,"Hastings District.","None",1,1
"2286",2286,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Apr","20","Common Assault","Assault","Trident.",".","Community Location","Thursday",20,"Whakatane District.","None",1,1
"2287",2287,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Apr","20","Common Assault","Assault","Tawa South.",".","Community Location","Thursday",14,"Wellington City.","Not Stated",1,1
"2288",2288,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Apr","20","Common Assault","Assault","Tongariro.",".","Community Location","Thursday",99,"Taupo District.","Not Stated",1,1
"2289",2289,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Apr","20","Serious Assault Not Resulting in Injury","Assault","Raumanga East.",".","Community Location","Thursday",20,"Whangarei District.","Blunt Instrument N.F.D.",1,1
"2290",2290,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Apr","20","Serious Assault Not Resulting in Injury","Assault","Avondale.",".","Community Location","Thursday",5,"Christchurch City.","None",1,1
"2291",2291,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Apr","20","Serious Assault Not Resulting in Injury","Assault","South Dunedin.",".","Community Location","Thursday",15,"Dunedin City.","None",1,1
"2292",2292,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Apr","20","Serious Assault Not Resulting in Injury","Assault","Nelson Park.",".","Community Location","Thursday",16,"Napier City.","None",1,1
"2293",2293,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Apr","20","Serious Assault Not Resulting in Injury","Assault","Grey Lynn East.",".","Community Location","Thursday",23,"Auckland.","None",1,1
"2294",2294,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Apr","20","Serious Assault Not Resulting in Injury","Assault","Fitzroy.",".","Community Location","Thursday",11,"New Plymouth District.","Not Stated",1,1
"2295",2295,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Apr","20","Serious Assault Not Resulting in Injury","Assault","Glendale.",".","Community Location","Thursday",17,"Lower Hutt City.","Not Stated",1,1
"2296",2296,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Apr","20","Serious Assault Resulting in Injury","Assault","Stuart St-Frederick St.",".","Community Location","Thursday",22,"Dunedin City.","Firearm N.F.D.",1,1
"2297",2297,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Apr","20","Serious Assault Resulting in Injury","Assault","Clarkin.",".","Community Location","Thursday",13,"Hamilton City.","None",1,1
"2298",2298,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Apr","20","Serious Assault Resulting in Injury","Assault","Orana Park.",".","Community Location","Thursday",22,"Waitaki District.","None",1,1
"2299",2299,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Apr","20","Serious Assault Resulting in Injury","Assault","Oaktree.",".","Community Location","Thursday",18,"Auckland.","Not Stated",1,1
"2300",2300,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Apr","20","Common Assault","Assault","Akina.",".","Community Location","Tuesday",11,"Hastings District.","None",1,2
"2301",2301,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Apr","20","Common Assault","Assault","Parawai.",".","Community Location","Tuesday",14,"Thames-Coromandel District.","None",1,1
"2302",2302,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Apr","20","Common Assault","Assault","Ponsonby East.",".","Community Location","Tuesday",16,"Auckland.","None",1,1
"2303",2303,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Apr","20","Common Assault","Assault","Haumoana.",".","Community Location","Tuesday",18,"Hastings District.","None",1,1
"2304",2304,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Apr","20","Common Assault","Assault","Papaeoia.",".","Community Location","Tuesday",10,"Palmerston North City.","Not Stated",1,1
"2305",2305,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Apr","20","Common Assault","Assault","Tawa South.",".","Community Location","Tuesday",22,"Wellington City.","Not Stated",1,1
"2306",2306,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Apr","20","Serious Assault Not Resulting in Injury","Assault","Dinsdale South.",".","Community Location","Tuesday",14,"Hamilton City.","Blunt Instrument N.E.C.",1,1
"2307",2307,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Apr","20","Serious Assault Not Resulting in Injury","Assault","Wiri.",".","Community Location","Tuesday",8,"Auckland.","None",1,1
"2308",2308,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Apr","20","Serious Assault Not Resulting in Injury","Assault","Gonville West.",".","Community Location","Tuesday",13,"Wanganui District.","None",1,1
"2309",2309,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Apr","20","Serious Assault Not Resulting in Injury","Assault","Porirua Central.",".","Community Location","Tuesday",22,"Porirua City.","None",1,1
"2310",2310,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Apr","20","Serious Assault Not Resulting in Injury","Assault","Dingwall.",".","Community Location","Tuesday",9,"Auckland.","Not Stated",1,1
"2311",2311,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Apr","20","Serious Assault Not Resulting in Injury","Assault","Takanini North.",".","Community Location","Tuesday",11,"Auckland.","Not Stated",1,1
"2312",2312,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Apr","20","Serious Assault Not Resulting in Injury","Assault","Dinsdale South.",".","Community Location","Tuesday",14,"Hamilton City.","Not Stated",1,1
"2313",2313,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Apr","20","Serious Assault Resulting in Injury","Assault","Tuatapere.",".","Community Location","Tuesday",3,"Southland District.","None",1,1
"2314",2314,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Apr","20","Serious Assault Resulting in Injury","Assault","999999",".","Community Location","Tuesday",16,"Masterton District.","None",1,1
"2315",2315,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Apr","20","Serious Assault Resulting in Injury","Assault","Mornington.",".","Community Location","Tuesday",13,"Dunedin City.","Not Stated",1,1
"2316",2316,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Apr","20","Common Assault","Assault","Levin South.",".","Community Location","UNKNOWN",99,"Horowhenua District.","None",1,1
"2317",2317,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Apr","20","Serious Assault Resulting in Injury","Assault","Runanga-Rapahoe.",".","Community Location","UNKNOWN",99,"Grey District.","None",1,1
"2318",2318,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Apr","20","Common Assault","Assault","One Tree Hill Central.",".","Community Location","Wednesday",7,"Auckland.","None",1,1
"2319",2319,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Apr","20","Common Assault","Assault","Kilbirnie East.",".","Community Location","Wednesday",10,"Wellington City.","None",1,1
"2320",2320,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Apr","20","Common Assault","Assault","Raglan.",".","Community Location","Wednesday",13,"Waikato District.","None",1,1
"2321",2321,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Apr","20","Common Assault","Assault","Paparua.",".","Community Location","Wednesday",15,"Christchurch City.","None",1,1
"2322",2322,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Apr","20","Common Assault","Assault","Papakura North East.",".","Community Location","Wednesday",17,"Auckland.","None",1,1
"2323",2323,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Apr","20","Common Assault","Assault","Highbury.",".","Community Location","Wednesday",18,"Palmerston North City.","None",1,2
"2324",2324,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Apr","20","Common Assault","Assault","Grandview.",".","Community Location","Wednesday",21,"Hamilton City.","None",1,1
"2325",2325,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Apr","20","Common Assault","Assault","Dannemora.",".","Community Location","Wednesday",15,"Auckland.","Not Stated",1,1
"2326",2326,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Apr","20","Serious Assault Not Resulting in Injury","Assault","Otorohanga Rural East.",".","Community Location","Wednesday",11,"Otorohanga District.","None",1,1
"2327",2327,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Apr","20","Serious Assault Not Resulting in Injury","Assault","Rangiora Central.",".","Community Location","Wednesday",15,"Waimakariri District.","None",1,1
"2328",2328,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Apr","20","Serious Assault Not Resulting in Injury","Assault","Sawyers Bay.",".","Community Location","Wednesday",7,"Dunedin City.","Not Stated",1,1
"2329",2329,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Apr","20","Serious Assault Not Resulting in Injury","Assault","Otaki.",".","Community Location","Wednesday",14,"Kapiti Coast District.","Not Stated",1,1
"2330",2330,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Apr","20","Serious Assault Not Resulting in Injury","Assault","Whakatane North.",".","Community Location","Wednesday",9,"Whakatane District.","Other Weapon",1,1
"2331",2331,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Apr","20","Serious Assault Resulting in Injury","Assault","Mairehau North.",".","Community Location","Wednesday",10,"Christchurch City.","None",1,1
"2332",2332,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Apr","20","Serious Assault Resulting in Injury","Assault","Roslyn.",".","Community Location","Wednesday",23,"Palmerston North City.","None",1,1
"2333",2333,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Apr","20","Serious Assault Resulting in Injury","Assault","Trafalgar.",".","Community Location","Wednesday",15,"Nelson City.","Not Stated",1,1
"2334",2334,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Apr","20","Serious Assault Resulting in Injury","Assault","Mararoa River.",".","Community Location","Wednesday",11,"Southland District.","Other Weapon",1,1
"2335",2335,"1 Victimisation Time and Place","Sexual Assault and Related Offences","Apr","20","Aggravated Sexual Assault","Sexual Assault","Hamilton Lake.",".","Community Location","Saturday",99,"Hamilton City.","Not Stated",1,1
"2336",2336,"1 Victimisation Time and Place","Sexual Assault and Related Offences","Apr","20","Non-Aggravated Sexual Assault","Sexual Assault","Orewa.",".","Community Location","Sunday",21,"Auckland.","Not Stated",1,1
"2337",2337,"1 Victimisation Time and Place","Sexual Assault and Related Offences","Apr","20","Aggravated Sexual Assault","Sexual Assault","Grafton East.",".","Community Location","Tuesday",0,"Auckland.","Not Stated",1,1
"2338",2338,"1 Victimisation Time and Place","Sexual Assault and Related Offences","Apr","20","Aggravated Sexual Assault","Sexual Assault","999999",".","Community Location","UNKNOWN",99,"Porirua City.","Not Stated",1,1
"2339",2339,"1 Victimisation Time and Place","Sexual Assault and Related Offences","Apr","20","Aggravated Sexual Assault","Sexual Assault","Bledisloe Park.",".","Community Location","Wednesday",20,"Auckland.","Not Stated",1,1
"2340",2340,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Apr","20","Common Assault","Assault","Hoon Hay.",".","Unspecified Location","Friday",19,"Christchurch City.","Not Stated",1,1
"2341",2341,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Apr","20","Serious Assault Not Resulting in Injury","Assault","Castlecliff North.",".","Unspecified Location","Friday",18,"Wanganui District.","None",1,1
"2342",2342,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Apr","20","Serious Assault Not Resulting in Injury","Assault","Sydenham.",".","Unspecified Location","Friday",99,"Christchurch City.","Not Stated",1,1
"2343",2343,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Apr","20","Serious Assault Resulting in Injury","Assault","Epuni East.",".","Unspecified Location","Friday",10,"Lower Hutt City.","Not Stated",1,1
"2344",2344,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Apr","20","Common Assault","Assault","Clendon North.",".","Unspecified Location","Monday",0,"Auckland.","None",1,1
"2345",2345,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Apr","20","Common Assault","Assault","Waihou-Walton.",".","Unspecified Location","Monday",99,"Matamata-Piako District.","Not Stated",1,1
"2346",2346,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Apr","20","Serious Assault Not Resulting in Injury","Assault","Hamilton East.",".","Unspecified Location","Monday",8,"Hamilton City.","Not Stated",1,1
"2347",2347,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Apr","20","Serious Assault Not Resulting in Injury","Assault","Hope.",".","Unspecified Location","Monday",99,"Tasman District.","Not Stated",1,1
"2348",2348,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Apr","20","Common Assault","Assault","Rewarewa.",".","Unspecified Location","Saturday",19,"Auckland.","None",1,1
"2349",2349,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Apr","20","Common Assault","Assault","Maraenui.",".","Unspecified Location","Saturday",20,"Napier City.","Not Stated",1,1
"2350",2350,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Apr","20","Common Assault","Assault","Waiheke Island.",".","Unspecified Location","Sunday",16,"Auckland.","Not Stated",1,1
"2351",2351,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Apr","20","Serious Assault Not Resulting in Injury","Assault","Manukau Central.",".","Unspecified Location","Sunday",12,"Auckland.","Not Stated",1,1
"2352",2352,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Apr","20","Common Assault","Assault","New Brighton.",".","Unspecified Location","Thursday",3,"Christchurch City.","Not Stated",1,1
"2353",2353,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Apr","20","Common Assault","Assault","Jellie Park.",".","Unspecified Location","Thursday",18,"Christchurch City.","Not Stated",1,1
"2354",2354,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Apr","20","Common Assault","Assault","Trafalgar.",".","Unspecified Location","Thursday",99,"Nelson City.","Not Stated",1,1
"2355",2355,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Apr","20","Serious Assault Not Resulting in Injury","Assault","Hokowhitu East.",".","Unspecified Location","Thursday",1,"Palmerston North City.","Not Stated",1,1
"2356",2356,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Apr","20","Serious Assault Not Resulting in Injury","Assault","Claudelands.",".","Unspecified Location","Thursday",99,"Hamilton City.","Not Stated",1,1
"2357",2357,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Apr","20","Common Assault","Assault","Kingsland.",".","Unspecified Location","Tuesday",6,"Auckland.","Not Stated",1,1
"2358",2358,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Apr","20","Common Assault","Assault","Greenacres.",".","Unspecified Location","Tuesday",99,"Wellington City.","Not Stated",1,1
"2359",2359,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Apr","20","Serious Assault Not Resulting in Injury","Assault","Shirley West.",".","Unspecified Location","Tuesday",12,"Christchurch City.","Not Stated",1,1
"2360",2360,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Apr","20","Serious Assault Not Resulting in Injury","Assault","Wairoa.",".","Unspecified Location","Tuesday",99,"Wairoa District.","Not Stated",1,1
"2361",2361,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Apr","20","Common Assault","Assault","Eden Terrace.",".","Unspecified Location","UNKNOWN",99,"Auckland.","Not Stated",1,1
"2362",2362,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Apr","20","Common Assault","Assault","Spreydon.",".","Unspecified Location","UNKNOWN",99,"Christchurch City.","Not Stated",1,1
"2363",2363,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Apr","20","Common Assault","Assault","Marewa.",".","Unspecified Location","UNKNOWN",99,"Napier City.","Not Stated",1,1
"2364",2364,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Apr","20","Common Assault","Assault","Tawa Central.",".","Unspecified Location","UNKNOWN",99,"Wellington City.","Not Stated",1,1
"2365",2365,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Apr","20","Serious Assault Not Resulting in Injury","Assault","Mangere East.",".","Unspecified Location","UNKNOWN",99,"Auckland.","Not Stated",1,1
"2366",2366,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Apr","20","Serious Assault Not Resulting in Injury","Assault","Maraenui.",".","Unspecified Location","UNKNOWN",99,"Napier City.","Not Stated",1,1
"2367",2367,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Apr","20","Serious Assault Not Resulting in Injury","Assault","Otumoetai South.",".","Unspecified Location","UNKNOWN",99,"Tauranga City.","Not Stated",1,1
"2368",2368,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Apr","20","Serious Assault Resulting in Injury","Assault","Middlemore.",".","Unspecified Location","UNKNOWN",99,"Auckland.","Not Stated",1,1
"2369",2369,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Apr","20","Common Assault","Assault","Waerenga.",".","Unspecified Location","Wednesday",13,"Waikato District.","Not Stated",1,1
"2370",2370,"1 Victimisation Time and Place","Sexual Assault and Related Offences","Apr","20","Aggravated Sexual Assault","Sexual Assault","Balmoral.",".","Unspecified Location","Monday",18,"Auckland.","Not Stated",1,1
"2371",2371,"1 Victimisation Time and Place","Sexual Assault and Related Offences","Apr","20","Aggravated Sexual Assault","Sexual Assault","999999",".","Unspecified Location","Sunday",0,"Auckland.","Not Stated",1,1
"2372",2372,"1 Victimisation Time and Place","Sexual Assault and Related Offences","Apr","20","Aggravated Sexual Assault","Sexual Assault","Pukekohe North.",".","Unspecified Location","Tuesday",11,"Auckland.","Not Stated",1,1
"2373",2373,"1 Victimisation Time and Place","Sexual Assault and Related Offences","Apr","20","Aggravated Sexual Assault","Sexual Assault","Hagley Park.",".","Unspecified Location","UNKNOWN",99,"Christchurch City.","Not Stated",1,1
"2374",2374,"1 Victimisation Time and Place","Sexual Assault and Related Offences","Apr","20","Aggravated Sexual Assault","Sexual Assault","Whenuakura.",".","Unspecified Location","UNKNOWN",99,"South Taranaki District.","Not Stated",1,1
"2375",2375,"1 Victimisation Time and Place","Acts Intended to Cause Injury","May","20","Common Assault","Assault","Levin West.",".","Community Location","Friday",2,"Horowhenua District.","None",1,1
"2376",2376,"1 Victimisation Time and Place","Acts Intended to Cause Injury","May","20","Common Assault","Assault","Paparua.",".","Community Location","Friday",10,"Christchurch City.","None",1,1
"2377",2377,"1 Victimisation Time and Place","Acts Intended to Cause Injury","May","20","Common Assault","Assault","Whitney.",".","Community Location","Friday",13,"Marlborough District.","None",1,1
"2378",2378,"1 Victimisation Time and Place","Acts Intended to Cause Injury","May","20","Common Assault","Assault","Oxford.",".","Community Location","Friday",14,"Waimakariri District.","None",1,1
"2379",2379,"1 Victimisation Time and Place","Acts Intended to Cause Injury","May","20","Common Assault","Assault","Raetihi.",".","Community Location","Friday",15,"Ruapehu District.","None",1,1
"2380",2380,"1 Victimisation Time and Place","Acts Intended to Cause Injury","May","20","Common Assault","Assault","Auckland Central West.",".","Community Location","Friday",17,"Auckland.","None",1,1
"2381",2381,"1 Victimisation Time and Place","Acts Intended to Cause Injury","May","20","Common Assault","Assault","Akarana.",".","Community Location","Friday",19,"Auckland.","None",1,1
"2382",2382,"1 Victimisation Time and Place","Acts Intended to Cause Injury","May","20","Common Assault","Assault","Redoubt North.",".","Community Location","Friday",22,"Auckland.","None",1,1
"2383",2383,"1 Victimisation Time and Place","Acts Intended to Cause Injury","May","20","Common Assault","Assault","Mt Maunganui North.",".","Community Location","Friday",23,"Tauranga City.","None",1,1
"2384",2384,"1 Victimisation Time and Place","Acts Intended to Cause Injury","May","20","Common Assault","Assault","Enderley.",".","Community Location","Friday",9,"Hamilton City.","Not Stated",1,1
"2385",2385,"1 Victimisation Time and Place","Acts Intended to Cause Injury","May","20","Common Assault","Assault","Warkworth.",".","Community Location","Friday",99,"Auckland.","Not Stated",1,1
"2386",2386,"1 Victimisation Time and Place","Acts Intended to Cause Injury","May","20","Serious Assault Not Resulting in Injury","Assault","Bledisloe Park.",".","Community Location","Friday",99,"Auckland.","Blunt Instrument N.E.C.",1,1
"2387",2387,"1 Victimisation Time and Place","Acts Intended to Cause Injury","May","20","Serious Assault Not Resulting in Injury","Assault","Thorndon-Tinakori Road.",".","Community Location","Friday",10,"Wellington City.","None",1,1
"2388",2388,"1 Victimisation Time and Place","Acts Intended to Cause Injury","May","20","Serious Assault Not Resulting in Injury","Assault","Kaipatiki.",".","Community Location","Friday",8,"Auckland.","Not Stated",1,1
"2389",2389,"1 Victimisation Time and Place","Acts Intended to Cause Injury","May","20","Serious Assault Not Resulting in Injury","Assault","Twyford.",".","Community Location","Friday",15,"Hastings District.","Not Stated",1,1
"2390",2390,"1 Victimisation Time and Place","Acts Intended to Cause Injury","May","20","Serious Assault Not Resulting in Injury","Assault","Porirua Central.",".","Community Location","Friday",17,"Porirua City.","Not Stated",1,1
"2391",2391,"1 Victimisation Time and Place","Acts Intended to Cause Injury","May","20","Serious Assault Not Resulting in Injury","Assault","The Wood.",".","Community Location","Friday",21,"Nelson City.","Not Stated",1,1
"2392",2392,"1 Victimisation Time and Place","Acts Intended to Cause Injury","May","20","Serious Assault Resulting in Injury","Assault","Tauranga Hospital.",".","Community Location","Friday",3,"Tauranga City.","Blunt Instrument N.F.D.",1,1
"2393",2393,"1 Victimisation Time and Place","Acts Intended to Cause Injury","May","20","Serious Assault Resulting in Injury","Assault","Clevedon.",".","Community Location","Friday",14,"Auckland.","None",1,1
"2394",2394,"1 Victimisation Time and Place","Acts Intended to Cause Injury","May","20","Serious Assault Resulting in Injury","Assault","Willis Street-Cambridge Terrace.",".","Community Location","Friday",17,"Wellington City.","None",1,1
"2395",2395,"1 Victimisation Time and Place","Acts Intended to Cause Injury","May","20","Serious Assault Resulting in Injury","Assault","Rotokauri.",".","Community Location","Friday",19,"Hamilton City.","None",1,1
"2396",2396,"1 Victimisation Time and Place","Acts Intended to Cause Injury","May","20","Serious Assault Resulting in Injury","Assault","Leigh.",".","Community Location","Friday",22,"Auckland.","None",1,1
"2397",2397,"1 Victimisation Time and Place","Acts Intended to Cause Injury","May","20","Serious Assault Resulting in Injury","Assault","Maoribank.",".","Community Location","Friday",8,"Upper Hutt City.","Not Stated",1,1
"2398",2398,"1 Victimisation Time and Place","Acts Intended to Cause Injury","May","20","Serious Assault Resulting in Injury","Assault","Puhinui South.",".","Community Location","Friday",12,"Auckland.","Not Stated",1,2
"2399",2399,"1 Victimisation Time and Place","Acts Intended to Cause Injury","May","20","Serious Assault Resulting in Injury","Assault","Papatoetoe North.",".","Community Location","Friday",17,"Auckland.","Not Stated",1,1
"2400",2400,"1 Victimisation Time and Place","Acts Intended to Cause Injury","May","20","Serious Assault Resulting in Injury","Assault","Mangakakahi.",".","Community Location","Friday",19,"Rotorua District.","Other Weapon",1,1
"2401",2401,"1 Victimisation Time and Place","Acts Intended to Cause Injury","May","20","Common Assault","Assault","Hastings Central.",".","Community Location","Monday",8,"Hastings District.","None",1,1
"2402",2402,"1 Victimisation Time and Place","Acts Intended to Cause Injury","May","20","Common Assault","Assault","Auckland Central West.",".","Community Location","Monday",10,"Auckland.","None",1,1
"2403",2403,"1 Victimisation Time and Place","Acts Intended to Cause Injury","May","20","Common Assault","Assault","Trafalgar.",".","Community Location","Monday",12,"Nelson City.","None",1,1
"2404",2404,"1 Victimisation Time and Place","Acts Intended to Cause Injury","May","20","Common Assault","Assault","Sockburn.",".","Community Location","Monday",15,"Christchurch City.","None",1,1
"2405",2405,"1 Victimisation Time and Place","Acts Intended to Cause Injury","May","20","Common Assault","Assault","Birkdale North.",".","Community Location","Monday",17,"Auckland.","None",1,1
"2406",2406,"1 Victimisation Time and Place","Acts Intended to Cause Injury","May","20","Common Assault","Assault","St Kilda East.",".","Community Location","Monday",12,"Dunedin City.","Not Stated",1,1
"2407",2407,"1 Victimisation Time and Place","Acts Intended to Cause Injury","May","20","Common Assault","Assault","Tawhai.",".","Community Location","Monday",99,"Lower Hutt City.","Not Stated",1,1
"2408",2408,"1 Victimisation Time and Place","Acts Intended to Cause Injury","May","20","Serious Assault Not Resulting in Injury","Assault","Kingsley-Chatham.",".","Community Location","Monday",12,"Hastings District.","None",1,1
"2409",2409,"1 Victimisation Time and Place","Acts Intended to Cause Injury","May","20","Serious Assault Not Resulting in Injury","Assault","Hamilton Central.",".","Community Location","Monday",9,"Hamilton City.","Not Stated",1,1
"2410",2410,"1 Victimisation Time and Place","Acts Intended to Cause Injury","May","20","Serious Assault Not Resulting in Injury","Assault","Paparua.",".","Community Location","Monday",12,"Christchurch City.","Not Stated",1,1
"2411",2411,"1 Victimisation Time and Place","Acts Intended to Cause Injury","May","20","Serious Assault Not Resulting in Injury","Assault","Paremoremo East.",".","Community Location","Monday",15,"Auckland.","Not Stated",1,1
"2412",2412,"1 Victimisation Time and Place","Acts Intended to Cause Injury","May","20","Serious Assault Not Resulting in Injury","Assault","Hamilton Central.",".","Community Location","Monday",23,"Hamilton City.","Not Stated",1,1
"2413",2413,"1 Victimisation Time and Place","Acts Intended to Cause Injury","May","20","Serious Assault Resulting in Injury","Assault","Oamaru Central.",".","Community Location","Monday",13,"Waitaki District.","Bludgeon",1,1
